x_m,y_m,depth_m,sound_speed_mps
0.000000,-30.000000,30.000000,1439.629645
0.216506,-29.875000,29.875000,1439.731820
0.433028,-29.750027,29.750027,1439.833911
0.649565,-29.625080,29.625080,1439.935916
0.866118,-29.500160,29.500160,1440.037837
1.082685,-29.375266,29.375266,1440.139673
1.299268,-29.250399,29.250399,1440.241424
1.515867,-29.125558,29.125558,1440.343091
1.732480,-29.000745,29.000745,1440.444673
1.949109,-28.875957,28.875957,1440.546170
2.165753,-28.751196,28.751196,1440.647584
2.382413,-28.626462,28.626462,1440.748912
2.599088,-28.501754,28.501754,1440.850157
2.815777,-28.377072,28.377072,1440.951318
3.032483,-28.252417,28.252417,1441.052394
3.249203,-28.127788,28.127788,1441.153387
3.465938,-28.003186,28.003186,1441.254295
3.682689,-27.878610,27.878610,1441.355120
3.899455,-27.754061,27.754061,1441.455861
4.116236,-27.629538,27.629538,1441.556519
4.333032,-27.505041,27.505041,1441.657092
4.549843,-27.380571,27.380571,1441.757583
4.766670,-27.256127,27.256127,1441.857989
4.983511,-27.131709,27.131709,1441.958313
5.200368,-27.007317,27.007317,1442.058553
5.417239,-26.882952,26.882952,1442.158710
5.634126,-26.758613,26.758613,1442.258784
5.851028,-26.634301,26.634301,1442.358775
6.067945,-26.510014,26.510014,1442.458683
6.284876,-26.385754,26.385754,1442.558508
6.501823,-26.261520,26.261520,1442.658250
6.718785,-26.137312,26.137312,1442.757909
6.935762,-26.013131,26.013131,1442.857486
7.152754,-25.888975,25.888975,1442.956980
7.369760,-25.764846,25.764846,1443.056392
7.586782,-25.640743,25.640743,1443.155721
7.803819,-25.516666,25.516666,1443.254968
8.020870,-25.392615,25.392615,1443.354132
8.237937,-25.268590,25.268590,1443.453214
8.455018,-25.144592,25.144592,1443.552215
8.672114,-25.020619,25.020619,1443.651133
8.889226,-24.896673,24.896673,1443.749969
9.106352,-24.772752,24.772752,1443.848723
9.323492,-24.648857,24.648857,1443.947396
9.540648,-24.524989,24.524989,1444.045986
9.757819,-24.401147,24.401147,1444.144495
9.975004,-24.277330,24.277330,1444.242923
10.192204,-24.153539,24.153539,1444.341269
10.409419,-24.029775,24.029775,1444.439533
10.626649,-23.906036,23.906036,1444.537716
10.843893,-23.782324,23.782324,1444.635818
11.061153,-23.658637,23.658637,1444.733839
11.278426,-23.534976,23.534976,1444.831778
11.495715,-23.411341,23.411341,1444.929636
11.713019,-23.287732,23.287732,1445.027414
11.930337,-23.164148,23.164148,1445.125110
12.147670,-23.040591,23.040591,1445.222726
12.365017,-22.917059,22.917059,1445.320260
12.582379,-22.793553,22.793553,1445.417715
12.799756,-22.670073,22.670073,1445.515088
13.017147,-22.546619,22.546619,1445.612381
13.234554,-22.423191,22.423191,1445.709593
13.451974,-22.299788,22.299788,1445.806725
13.669410,-22.176411,22.176411,1445.903777
13.886860,-22.053060,22.053060,1446.000749
14.104324,-21.929734,21.929734,1446.097640
14.321803,-21.806434,21.806434,1446.194451
14.539297,-21.683160,21.683160,1446.291182
14.756805,-21.559912,21.559912,1446.387834
14.974328,-21.436689,21.436689,1446.484405
